Australia,"Canberra	Australian Dollar"
Belgium,"Brussels	Euro"
Bhutan, "Thimphu	Ngultrun"
Brazil, "Brasilia	Real"
Canada, "Ottawa		Canadian Dollar"
Chile,"Santiago		Chilean Peso"
Colombia, "Bogoto	Colombian Peso"
Cuba,"Havana	Cuban Peso"
Denmark,"Copenhagen	Danish Knora"
Finland,"Helsinki	Euro"
Hungary,"Budapest	Forint"
Ireland,"Syblin		Euro"
Kenya,"Nairobi		Kenya Shilling"
Malaysia,"Kaula humpan Rinagit"
Mexico,"Mexico City	Mexico Peso"
"The Netherlands","Amsterdam	Euro"
"The Phillipines","Manila	Peso"
Portugal,"Lisbon	Euro"
Romania,"Bucharest	Romanian Rupees"
Russia,"Moscow	Ruble"
Sweden,"Stockholm	Krona"
Switzerland,"Berne	Swiss Frank"
Turkey,"Ankana		Turkish Litna"
Ukraine,"Kiev	Hnyunia"
