"Medium sized plants in which branches arise near the base of the plant.",shrub
"Plant part that is present below the ground.",root
"Plant part that bears leaves and flowers.",stem
"Flat green part of a leaf.",Lamina
"The place from where a leaf arises.",node
"The part of the flower which  protects it in bud stage.",Sepal
"The most conspicuous part of a flower.",Petal
"The part of the flower which contains ovules.",Ovary
"Tiny pores present on the leaf surfaces.",Stomata
"The process by which loss of water in vapour form occurs through the leaves.",Transpiration
"The part of the flower which bears ovary.",pistil
