"Any substance that occupy space ____.",Matter
"The boiling point of water is _____.",water
"A gas dissolved in soft drinks to make them fizzy _____", "Carbon Dioxide"
"Liquid that do not mix together.",Immisicible
"Liquid that mix together.",Misible
"The process of changing a liquid into a solid on cooling.",Freezing
"The process of changing a liquid into gas on heating.",Evaporation
"The process of changing a solid into liquid on heating.",Melting
"The process of changing a gas into liquid on cooling.",Condensation
"A solute and a solvent together form this.",Solution
"A way of seperating soluble substance.",Evaporation
